	tissue
LC001-normal-RPF	normal
LC001-tumor-RPF	tumor
LC033-normal-RPF	normal
LC033-tumor-RPF	tumor
LC034-normal-RPF	normal
LC034-tumor-RPF	tumor
LC501-normal-RPF	normal
LC501-tumor-RPF	tumor
LC502-normal-RPF	normal
LC502-tumor-RPF	tumor
LC505-normal-RPF	normal
LC505-tumor-RPF	tumor
LC506-normal-RPF	normal
LC506-tumor-RPF	tumor
LC507-normal-RPF	normal
LC507-tumor-RPF	tumor
LC508-normal-RPF	normal
LC508-tumor-RPF	tumor
LC509-normal-RPF	normal
LC509-tumor-RPF	tumor
